X,CH1,CH2,
Second,Volt,Volt,
-2.6860001e-02,1.60000e-03,-1.60000e-01,
-2.6839996e-02,8.00000e-04,-8.00000e-02,
-2.6819998e-02,0.00000e+00,-8.00000e-02,
-2.6800001e-02,0.00000e+00,-8.00000e-02,
-2.6779996e-02,0.00000e+00,-1.60000e-01,
-2.6759999e-02,8.00000e-04,-8.00000e-02,
-2.6740002e-02,8.00000e-04,-8.00000e-02,
-2.6719997e-02,8.00000e-04,-1.60000e-01,
-2.6699999e-02,0.00000e+00,-8.00000e-02,
-2.6679995e-02,0.00000e+00,-8.00000e-02,
-2.6659997e-02,0.00000e+00,-8.00000e-02,
-2.6640000e-02,0.00000e+00,-8.00000e-02,
-2.6619995e-02,0.00000e+00,-8.00000e-02,
-2.6599998e-02,0.00000e+00,-8.00000e-02,
-2.6580000e-02,0.00000e+00,-8.00000e-02,
-2.6559995e-02,8.00000e-04,-8.00000e-02,
-2.6539998e-02,8.00000e-04,-8.00000e-02,
-2.6520001e-02,0.00000e+00,-8.00000e-02,
-2.6499996e-02,8.00000e-04,-8.00000e-02,
-2.6479999e-02,0.00000e+00,-8.00000e-02,
-2.6460001e-02,0.00000e+00,-8.00000e-02,
-2.6439996e-02,-8.00000e-04,-8.00000e-02,
-2.6419999e-02,0.00000e+00,-8.00000e-02,
-2.6400002e-02,-8.00000e-04,-8.00000e-02,
-2.6379997e-02,-8.00000e-04,-8.00000e-02,
-2.6360000e-02,-8.00000e-04,-8.00000e-02,
-2.6339995e-02,-8.00000e-04,-8.00000e-02,
-2.6319997e-02,-8.00000e-04,-8.00000e-02,
-2.6300000e-02,0.00000e+00,-8.00000e-02,
-2.6279995e-02,-8.00000e-04,-8.00000e-02,
-2.6259998e-02,-8.00000e-04,-8.00000e-02,
-2.6240001e-02,-8.00000e-04,-8.00000e-02,
-2.6219996e-02,-1.60000e-03,-8.00000e-02,
-2.6199998e-02,-1.60000e-03,-8.00000e-02,
-2.6180001e-02,-1.60000e-03,-8.00000e-02,
-2.6159996e-02,-1.60000e-03,-8.00000e-02,
-2.6139999e-02,-1.60000e-03,-8.00000e-02,
-2.6120001e-02,-3.20000e-03,-8.00000e-02,
-2.6099997e-02,-1.60000e-03,-8.00000e-02,
-2.6079999e-02,-3.20000e-03,-8.00000e-02,
-2.6060002e-02,-1.60000e-03,-8.00000e-02,
-2.6039997e-02,-8.00000e-04,-8.00000e-02,
-2.6020000e-02,-3.20000e-03,-8.00000e-02,
-2.5999995e-02,-3.20000e-03,-8.00000e-02,
-2.5979998e-02,-4.00000e-03,-8.00000e-02,
-2.5960000e-02,-4.00000e-03,-8.00000e-02,
-2.5939995e-02,-3.20000e-03,-8.00000e-02,
-2.5919998e-02,-3.20000e-03,-8.00000e-02,
-2.5900001e-02,-4.00000e-03,-8.00000e-02,
-2.5879996e-02,-4.00000e-03,-8.00000e-02,
-2.5859999e-02,-4.00000e-03,-8.00000e-02,
-2.5840001e-02,-4.00000e-03,-8.00000e-02,
-2.5819996e-02,-3.20000e-03,-8.00000e-02,
-2.5799999e-02,-4.00000e-03,-8.00000e-02,
-2.5780002e-02,-4.80000e-03,-8.00000e-02,
-2.5759997e-02,-4.00000e-03,-8.00000e-02,
-2.5739999e-02,-4.00000e-03,-8.00000e-02,
-2.5719995e-02,-3.20000e-03,-8.00000e-02,
-2.5699997e-02,-3.20000e-03,-8.00000e-02,
-2.5680000e-02,-3.20000e-03,-8.00000e-02,
-2.5659995e-02,-1.60000e-03,-8.00000e-02,
-2.5639998e-02,-1.60000e-03,-8.00000e-02,
-2.5620000e-02,-1.60000e-03,-8.00000e-02,
-2.5599996e-02,-8.00000e-04,-8.00000e-02,
-2.5579998e-02,-1.60000e-03,-8.00000e-02,
-2.5560001e-02,-8.00000e-04,-8.00000e-02,
-2.5539996e-02,-8.00000e-04,-8.00000e-02,
-2.5519999e-02,0.00000e+00,-1.60000e-01,
-2.5500001e-02,-8.00000e-04,-8.00000e-02,
-2.5479997e-02,-8.00000e-04,-8.00000e-02,
-2.5459999e-02,-8.00000e-04,-8.00000e-02,
-2.5440002e-02,-8.00000e-04,-8.00000e-02,
-2.5419997e-02,-1.60000e-03,-8.00000e-02,
-2.5400000e-02,-8.00000e-04,-8.00000e-02,
-2.5379995e-02,-8.00000e-04,-8.00000e-02,
-2.5359998e-02,-8.00000e-04,-8.00000e-02,
-2.5340000e-02,-8.00000e-04,-8.00000e-02,
-2.5319995e-02,0.00000e+00,-8.00000e-02,
-2.5299998e-02,-8.00000e-04,-8.00000e-02,
-2.5280001e-02,0.00000e+00,-8.00000e-02,
-2.5259996e-02,-8.00000e-04,-8.00000e-02,
-2.5239998e-02,-8.00000e-04,-8.00000e-02,
-2.5220001e-02,-8.00000e-04,-8.00000e-02,
-2.5199996e-02,0.00000e+00,-8.00000e-02,
-2.5179999e-02,-8.00000e-04,-8.00000e-02,
-2.5160002e-02,0.00000e+00,-8.00000e-02,
-2.5139997e-02,-8.00000e-04,-8.00000e-02,
-2.5119999e-02,8.00000e-04,-8.00000e-02,
-2.5099995e-02,1.60000e-03,-8.00000e-02,
-2.5079997e-02,1.60000e-03,-1.60000e-01,
-2.5060000e-02,8.00000e-04,-8.00000e-02,
-2.5039995e-02,8.00000e-04,-8.00000e-02,
-2.5019998e-02,8.00000e-04,-8.00000e-02,
-2.5000000e-02,1.60000e-03,-8.00000e-02,
-2.4979996e-02,8.00000e-04,-8.00000e-02,
-2.4959998e-02,1.60000e-03,-8.00000e-02,
-2.4940001e-02,1.60000e-03,-8.00000e-02,
